2025-09-07 14:33:22,480 - INFO - Database connection established
2025-09-07 14:33:22,800 - INFO - uk_absence_data table already exists
2025-09-07 14:33:22,959 - INFO - Starting data upload for Wales schools...
2025-09-07 14:33:22,969 - INFO - Found 1464 schools in CSV file
2025-09-07 14:33:45,473 - INFO - [69/1464] Updated: Ysgol Gynradd Nebo - Lit: None, Math: None, Sci: None
2025-09-07 14:33:45,792 - INFO - [70/1464] Updated: Ysgol Gymuned Penisarwaun - Lit: None, Math: None, Sci: None
2025-09-07 14:33:46,111 - INFO - [71/1464] Updated: Ysgol Bro Lleu - Lit: None, Math: None, Sci: None
2025-09-07 14:33:46,430 - INFO - [72/1464] Updated: YSGOL GYNRADD  PENTREUCHAF - Lit: None, Math: None, Sci: None
2025-09-07 14:33:46,748 - INFO - [73/1464] Updated: Ysgol Rhiwlas - Lit: None, Math: None, Sci: None
2025-09-07 14:33:47,067 - INFO - [74/1464] Updated: Ysgol Gynradd Rhosgadfan - Lit: None, Math: None, Sci: None
2025-09-07 14:33:47,386 - INFO - [75/1464] Updated: Ysgol Gynradd Rhostryfan - Lit: None, Math: None, Sci: None
2025-09-07 14:33:47,705 - INFO - [76/1464] Updated: YSGOL SARN BACH - Lit: None, Math: None, Sci: None
2025-09-07 14:33:48,023 - INFO - [77/1464] Updated: Ysgol Eifion Wyn - Lit: None, Math: None, Sci: None
2025-09-07 14:33:48,341 - INFO - [78/1464] Updated: Ysgol Gynradd Talysarn - Lit: None, Math: None, Sci: None
2025-09-07 14:33:48,660 - INFO - [79/1464] Updated: YSGOL Y GORLAN - Lit: None, Math: None, Sci: None
2025-09-07 14:33:48,979 - INFO - [80/1464] Updated: Ysgol yr Eifl - Lit: None, Math: None, Sci: None
2025-09-07 14:33:49,297 - INFO - [81/1464] Updated: YSGOL GYNRADD TUDWEILIOG - Lit: None, Math: None, Sci: None
2025-09-07 14:33:49,619 - INFO - [82/1464] Updated: Ysgol Waunfawr - Lit: None, Math: None, Sci: None
2025-09-07 14:33:49,938 - INFO - [83/1464] Updated: Ysgol Glancegin - Lit: None, Math: None, Sci: None
2025-09-07 14:33:50,257 - INFO - [84/1464] Updated: Ysgol Yr Hendre - Lit: None, Math: None, Sci: None
2025-09-07 14:33:50,575 - INFO - [85/1464] Updated: Ysgol Bontnewydd - Lit: None, Math: None, Sci: None
2025-09-07 14:33:50,893 - INFO - [86/1464] Updated: Ysgol Gymraeg y Garnedd - Lit: None, Math: None, Sci: None
2025-09-07 14:33:51,221 - INFO - [87/1464] Updated: Ysgol Cymerau - Lit: None, Math: None, Sci: None
2025-09-07 14:33:51,539 - INFO - [88/1464] Updated: Ysgol Abercaseg (Babanod) - Lit: None, Math: None, Sci: None
2025-09-07 14:33:51,858 - INFO - [89/1464] Updated: Ysgol y Felinheli - Lit: None, Math: None, Sci: None
2025-09-07 14:33:52,176 - INFO - [90/1464] Updated: Ysgol y Traeth - Lit: None, Math: None, Sci: None
2025-09-07 14:33:52,495 - INFO - [91/1464] Updated: Ysgol Gynradd Dyffryn Dulas - Lit: None, Math: None, Sci: None
2025-09-07 14:33:52,815 - INFO - [92/1464] Updated: Ysgol Gynradd Dyffryn Ardudwy - Lit: None, Math: None, Sci: None
2025-09-07 14:33:53,134 - INFO - [93/1464] Updated: Ysgol Bro Cynfal - Lit: None, Math: None, Sci: None
2025-09-07 14:33:53,452 - INFO - [94/1464] Updated: Ysgol Edmwnd Prys - Lit: None, Math: None, Sci: None
2025-09-07 14:33:53,771 - INFO - [95/1464] Updated: Ysgol Gynradd Llanbedr - Lit: None, Math: None, Sci: None
2025-09-07 14:33:54,093 - INFO - [96/1464] Updated: YSGOL Y GARREG - Lit: None, Math: None, Sci: None
2025-09-07 14:33:54,422 - INFO - [97/1464] Updated: Ysgol O M Edwards - Lit: None, Math: None, Sci: None
2025-09-07 14:33:54,741 - INFO - [98/1464] Updated: Ysgol Manod - Lit: None, Math: None, Sci: None
2025-09-07 14:33:55,060 - INFO - [99/1464] Updated: Ysgol Gynradd Pennal - Lit: None, Math: None, Sci: None
2025-09-07 14:33:55,379 - INFO - [100/1464] Updated: Ysgol Cefn Coch - Lit: None, Math: None, Sci: None
2025-09-07 14:33:55,538 - INFO - Committed batch. Progress: 100/1464
2025-09-07 14:33:56,015 - INFO - [101/1464] Updated: Ysgol Talsarnau - Lit: None, Math: None, Sci: None
2025-09-07 14:33:56,333 - INFO - [102/1464] Updated: Ysgol Gynradd Tanygrisiau - Lit: None, Math: None, Sci: None
2025-09-07 14:33:56,652 - INFO - [103/1464] Updated: Ysgol Gynradd Penybryn - Lit: None, Math: None, Sci: None
2025-09-07 14:33:56,970 - INFO - [104/1464] Updated: Ysgol Bro Hedd Wyn - Lit: None, Math: None, Sci: None
2025-09-07 14:33:57,289 - INFO - [105/1464] Updated: Ysgol Bro Tryweryn - Lit: None, Math: None, Sci: None
2025-09-07 14:33:57,607 - INFO - [106/1464] Updated: Ysgol Tanycastell - Lit: None, Math: None, Sci: None
2025-09-07 14:33:57,925 - INFO - [107/1464] Updated: Ysgol Ffridd y LLyn - Lit: None, Math: None, Sci: None
2025-09-07 14:33:58,244 - INFO - [108/1464] Updated: Ysgol Maenofferen - Lit: None, Math: None, Sci: None
2025-09-07 14:33:58,562 - INFO - [109/1464] Updated: Ysgol Hirael - Lit: None, Math: None, Sci: None
2025-09-07 14:33:58,881 - INFO - [110/1464] Updated: Ysgol Craig y Deryn - Lit: None, Math: None, Sci: None
