Local Authority,SeedCode,School Name,School Type,Teachers (Full Time Equivalent) [Note 1],Pupil roll,Pupil Teacher Ratio,Average class size,Female,Male,P1,P2,P3,P4,P5,P6,P7,S1,S2,S3,S4,S5,S6,Special school pupils,Pupils with an Additional Support Need recorded,Pupils with no Additional Support Needs recorded,Pupils with English as an Additional Language [Note 2],Pupils without English as an Additional Language [Note 2],Pupils taught in Gaelic [Note 3],Pupils with no Gaelic taught [Note 3],White - British [Note 4],White - Other [Note 4],Minority Ethnic [Note 4],Not known/not disclosed [Note 4],P1-P5 pupils registered for free school meals [Note 5],Percentage of P1-P5 pupils registered for free school meals [Note 5],P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],Percentage of P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],SIMD Quintile 1 [Note 6],SIMD Quintile 2 [Note 6],SIMD Quintile 3 [Note 6],SIMD Quintile 4 [Note 6],SIMD Quintile 5 [Note 6],SIMD not availble [Note 6],Urban [Note 7],Small town [Note 7],Rural [Note 7],Urban/rural classification not available [Note 7],Attendance rate (%)[Note 8] [Note 9],Authorised absence rate (%) [Note 8] [Note 9],Unauthorised absence rate (%)[Note 8] [Note 9],Absence due to temporary exclusion rate (%) [Note 8] [Note 9],School's 6-fold urban/rural classification,School's 8-fold urban/rural classification,Denomination of school,,
Glasgow City,8440441,Eastmuir Primary School,Special,15.2,65,4.3,z,18,47,z,z,z,z,z,z,z,z,z,z,z,z,z,65,65,0,C,C,0,65,38,5,15,7,z,z,34,52.3,50,8,C,C,C,0,90-100%,0-10%,0-10%,0-10%,89.5,10.5,C,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8443440,Hampden Primary School,Special,16.0,65,4.1,z,17,48,z,z,z,z,z,z,z,z,z,z,z,z,z,65,65,0,13,52,0,65,28,0,35,C,z,z,55,84.6,34,17,C,9,C,0,90-100%,0-10%,0-10%,0-10%,91.2,8.8,0.0,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8441243,Hazelwood School,Special,27.4,62,2.3,z,22,40,z,z,z,z,z,z,z,z,z,z,z,z,z,62,62,0,8,54,0,62,32,C,28,C,z,z,29,46.8,29,12,7,11,C,C,90-100%,0-10%,0-10%,0-10%,81.8,15.5,2.8,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8440948,Hollybrook Academy,Special,30.0,119,4,z,27,92,z,z,z,z,z,z,z,z,z,z,z,z,z,119,119,0,33,86,0,119,62,11,41,5,z,z,74,62.2,75,27,7,8,C,C,90-100%,0-10%,0-10%,0-10%,76.4,12.1,11.5,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8441049,Howford Primary School,Special,15.6,65,4.2,z,21,44,z,z,z,z,z,z,z,z,z,z,z,z,z,65,65,0,6,59,0,65,28,C,22,C,z,z,49,75.4,45,11,C,C,C,0,90-100%,0-10%,0-10%,0-10%,87.9,12.0,C,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8441146,Kelbourne Park Primary School,Special,15.0,66,4.4,z,17,49,z,z,z,z,z,z,z,z,z,z,z,z,z,66,66,0,C,C,0,66,31,5,20,10,z,z,45,68.2,43,8,9,C,C,0,90-100%,0-10%,0-10%,0-10%,84.9,14.4,0.7,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8441448,Kirkriggs Primary School,Special,12.2,52,4.3,z,15,37,z,z,z,z,z,z,z,z,z,z,z,z,z,52,52,0,C,C,0,52,27,C,24,C,z,z,20,38.5,29,12,5,C,C,0,90-100%,0-10%,0-10%,0-10%,87.7,6.4,5.9,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8447241,Langlands Primary School,Special,15.2,56,3.7,z,18,38,z,z,z,z,z,z,z,z,z,z,z,z,z,56,56,0,C,C,0,56,27,0,25,C,z,z,42,75,28,16,C,8,0,C,90-100%,0-10%,0-10%,0-10%,86.1,12.3,1.6,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8443645,Linburn Academy,Special,13.9,51,3.7,z,15,36,z,z,z,z,z,z,z,z,z,z,z,z,z,51,51,0,9,42,0,51,28,C,17,C,z,z,36,70.6,34,9,7,C,0,C,90-100%,0-10%,0-10%,0-10%,86.0,7.6,6.5,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8452741,Middlefield School,Special,12.8,23,1.8,z,C,C,z,z,z,z,z,z,z,z,z,z,z,z,z,23,23,0,C,C,0,23,20,C,C,0,z,z,14,60.9,15,C,C,C,0,0,90-100%,0-10%,0-10%,0-10%,83.8,14.0,2.2,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8443742,Newhills Secondary School,Special,10.9,39,3.6,z,9,30,z,z,z,z,z,z,z,z,z,z,z,z,z,39,39,0,C,C,0,39,24,0,11,C,z,z,23,59,33,C,C,C,0,0,90-100%,0-10%,0-10%,0-10%,92.0,0.0,8.1,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8441340,Parkhill Secondary School,Special,27.2,102,3.7,z,34,68,z,z,z,z,z,z,z,z,z,z,z,z,z,102,102,0,12,90,0,102,79,C,17,C,z,z,74,72.5,77,16,6,C,0,C,90-100%,0-10%,0-10%,0-10%,80.1,5.3,14.6,0.0,Large urban areas,Large urban areas,Non-denominational,,
Glasgow City,8442843,St Oswald&apos;s Secondary School,Special,16.0,50,3.1,z,18,32,z,z,z,z,z,z,z,z,z,z,z,z,z,50,50,0,5,45,0,50,33,5,10,C,z,z,44,88,34,8,7,C,0,C,90-100%,0-10%,0-10%,0-10%,87.2,4.8,8.0,0.0,Large urban areas,Large urban areas,Roman Catholic,,
Glasgow City,1000241,Westmuir High School,Special,13.8,41,3,z,C,C,z,z,z,z,z,z,z,z,z,z,z,z,z,41,41,0,0,41,0,41,34,C,C,C,z,z,32,78,32,5,C,C,0,C,90-100%,0-10%,0-10%,0-10%,62.8,7.5,28.2,1.5,Large urban areas,Large urban areas,Non-denominational,,
Highland,5145023,Abernethy Primary,Primary,4.9,86,17.6,21.5,39,47,7,13,17,18,7,15,9,z,z,z,z,z,z,z,30,56,C,C,0,86,72,7,C,C,62,100,C,C,0,0,C,82,0,C,0-10%,0-10%,90-100%,0-10%,94.5,4.1,1.5,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5130123,Acharacle Primary,Primary,4.4,51,11.7,17,28,23,8,5,7,C,13,9,C,z,z,z,z,z,z,z,10,41,0,51,49,C,43,C,C,C,37,100,0,0,0,0,51,0,0,0,0-10%,0-10%,90-100%,0-10%,94.3,4.4,1.3,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5113024,Achiltibuie Primary,Primary,1.4,8,5.5,8,C,C,0,C,0,C,0,C,C,z,z,z,z,z,z,z,C,C,0,8,0,8,8,0,0,0,6,100,0,0,0,0,8,0,0,0,0-10%,0-10%,90-100%,0-10%,93.1,6.8,C,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5137527,Aldourie Primary,Primary,2.7,20,7.5,10,10,10,0,C,C,C,8,C,C,z,z,z,z,z,z,z,10,10,C,C,0,20,17,C,C,0,15,100,C,C,0,0,18,C,0,C,0-10%,0-10%,90-100%,0-10%,93.6,4.5,1.8,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,5145120,Alvie Primary,Primary,3.7,50,13.5,16.7,19,31,7,C,7,7,C,11,10,z,z,z,z,z,z,z,26,24,0,50,0,50,43,C,5,C,29,100,C,C,0,0,C,46,0,C,0-10%,10-20%,80-90%,0-10%,93.3,5.3,1.5,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5113229,Applecross Primary,Primary,1.6,12,7.5,12,C,C,C,C,C,C,0,C,0,z,z,z,z,z,z,z,6,6,C,C,8,C,8,C,C,0,11,100,0,0,0,0,12,0,0,0,0-10%,0-10%,90-100%,0-10%,93.2,4.6,2.2,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5137624,Ardersier Primary,Primary,7.1,95,13.4,19,50,45,6,13,12,14,14,20,16,z,z,z,z,z,z,z,24,71,0,95,0,95,84,C,C,7,59,100,7,19.4,C,61,C,32,0,0,0-10%,0-10%,90-100%,0-10%,91.2,7.3,1.5,C,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,5130220,Ardgour Primary,Primary,2.4,18,7.3,9,13,5,C,C,C,C,C,C,C,z,z,z,z,z,z,z,C,C,0,18,0,18,18,0,0,0,13,100,C,C,0,0,18,0,0,0,0-10%,0-10%,90-100%,0-10%,92.9,6.8,0.4,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5113326,Ardross Primary,Primary,2.7,30,11.1,15,17,13,5,5,C,5,C,5,C,z,z,z,z,z,z,z,21,9,0,30,30,0,30,0,0,0,21,100,C,C,5,C,23,C,0,0,0-10%,10-20%,80-90%,0-10%,94.6,3.4,2.0,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5133327,Arisaig Primary,Primary,2.4,22,9.2,11,13,9,C,C,C,6,C,C,C,z,z,z,z,z,z,z,7,15,0,22,14,8,21,C,C,0,15,100,C,C,0,0,22,0,0,0,0-10%,0-10%,90-100%,0-10%,90.7,4.6,4.7,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5128625,Auchtertyre Primary,Primary,3.0,43,14.2,21.5,20,23,C,C,5,C,10,C,16,z,z,z,z,z,z,z,23,20,0,43,27,16,42,C,C,0,26,100,C,C,0,C,39,C,0,0,0-10%,0-10%,90-100%,0-10%,93.4,4.7,1.9,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5152526,Auldearn Primary,Primary,8.7,192,22.2,27.4,100,92,22,24,30,24,29,32,31,z,z,z,z,z,z,z,63,129,0,192,0,192,178,6,7,C,129,100,C,C,C,5,69,114,0,C,10-20%,0-10%,80-90%,0-10%,94.2,4.5,1.3,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,5145228,Aviemore Primary,Primary,13.3,213,16,19.4,104,109,27,27,28,32,19,35,45,z,z,z,z,z,z,z,130,83,22,191,0,213,176,31,C,C,133,100,7,8.8,0,0,45,168,0,0,0-10%,70-80%,20-30%,0-10%,91.7,6.2,2.1,C,Remote small towns,Remote small towns,Non-denominational,,
Highland,5113423,Avoch Primary,Primary,13.9,274,19.7,24.9,127,147,33,39,34,38,47,40,43,z,z,z,z,z,z,z,73,201,C,C,0,274,242,11,11,10,191,100,6,7.2,0,0,59,213,0,C,0-10%,0-10%,90-100%,0-10%,93.0,5.3,1.8,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,5130328,Ballachulish Primary,Primary,2.3,35,15.6,17.5,17,18,5,7,C,11,C,C,C,z,z,z,z,z,z,z,14,21,C,C,7,28,27,5,C,C,29,100,0,0,0,C,C,31,0,0,0-10%,0-10%,90-100%,0-10%,93.4,5.0,1.6,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5137721,Balloch Primary,Primary,9.0,174,19.3,24.9,77,97,25,23,21,26,27,28,24,z,z,z,z,z,z,z,45,129,C,C,0,174,157,6,11,0,122,100,C,C,C,C,31,42,97,0,60-70%,0-10%,30-40%,0-10%,94.2,4.5,1.3,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,5137829,Balnain Primary,Primary,2.4,20,8.3,10,10,10,C,C,C,C,C,6,C,z,z,z,z,z,z,z,7,13,0,20,12,8,19,0,C,C,11,100,0,0,0,0,C,19,0,C,0-10%,0-10%,90-100%,0-10%,95.9,3.4,0.8,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5133424,Banavie Primary,Primary,5.2,91,17.5,22.8,47,44,11,10,13,17,10,15,15,z,z,z,z,z,z,z,23,68,C,C,28,63,72,12,5,C,61,100,C,C,C,C,50,5,31,C,80-90%,0-10%,10-20%,0-10%,89.8,6.4,3.9,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,5144027,Beauly Primary,Primary,7.5,119,15.9,19.8,61,58,13,15,17,25,20,17,12,z,z,z,z,z,z,z,55,64,5,114,49,70,107,6,6,0,90,100,C,C,0,C,76,39,0,C,0-10%,0-10%,90-100%,0-10%,92.9,5.9,1.2,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,1000225,Ben Wyvis Primary,Primary,11.9,270,22.6,24.5,119,151,32,35,35,38,53,40,37,z,z,z,z,z,z,z,118,152,13,257,0,270,237,14,17,C,193,100,20,26,C,72,117,44,34,C,0-10%,60-70%,30-40%,0-10%,92.3,5.6,2.2,0.0,Accessible small towns,Accessible small towns,Non-denominational,,
Highland,5139422,Bishop Eden&apos;s Primary,Primary,2.9,23,7.9,11.5,11,12,C,C,6,5,C,C,5,z,z,z,z,z,z,z,10,13,C,C,0,23,17,C,C,C,17,100,C,C,14,C,C,C,0,0,90-100%,0-10%,0-10%,0-10%,90.1,6.0,3.9,C,Other urban areas,Other urban areas,Other denomination,,
Highland,5107725,Bonar Bridge Primary,Primary,4.8,41,8.6,20.5,28,13,C,7,6,C,C,13,C,z,z,z,z,z,z,z,11,30,0,41,0,41,37,C,C,0,24,100,C,C,0,0,37,C,0,C,0-10%,0-10%,90-100%,0-10%,93.4,4.6,2.0,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5100127,Bower Primary,Primary,2.8,18,6.4,9,5,13,C,C,C,C,C,C,C,z,z,z,z,z,z,z,0,18,0,18,0,18,16,C,C,0,14,100,0,0,0,C,17,0,0,C,0-10%,0-10%,90-100%,0-10%,95.3,3.4,1.3,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5113628,Bridgend Primary,Primary,14.5,277,19.1,25.2,138,139,43,36,44,48,37,30,39,z,z,z,z,z,z,z,144,133,19,258,0,277,232,24,17,C,208,100,9,13,81,98,65,C,23,C,0-10%,60-70%,20-30%,0-10%,91.9,5.4,2.8,0.0,Remote small towns,Remote small towns,Non-denominational,,
Highland,5127823,Broadford Primary,Primary,5.4,61,11.2,15.3,29,32,6,10,9,13,C,C,13,z,z,z,z,z,z,z,30,31,C,C,61,0,51,5,C,C,44,100,C,C,C,27,30,0,0,C,0-10%,0-10%,90-100%,0-10%,86.7,10.8,2.5,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5110726,Brora Primary,Primary,6.6,93,14.1,18.6,47,46,9,14,16,15,12,16,11,z,z,z,z,z,z,z,40,53,0,93,0,93,70,8,6,9,66,100,5,18.5,0,44,47,0,0,C,0-10%,0-10%,90-100%,0-10%,93.5,4.6,2.0,C,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5113725,Bualnaluib Primary,Primary,2.7,25,9.2,12.5,13,12,C,C,C,6,C,C,C,z,z,z,z,z,z,z,9,16,0,25,6,19,22,0,C,C,19,100,C,C,0,0,25,0,0,0,0-10%,0-10%,90-100%,0-10%,93.4,5.9,0.7,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,1003429,Bun-Sgoil Gh?idhlig Loch Abar,Primary,8.3,151,18.2,21.6,78,73,21,20,20,21,22,27,20,z,z,z,z,z,z,z,10,141,C,C,151,0,146,C,C,0,104,100,C,C,C,26,89,25,8,C,70-80%,0-10%,20-30%,0-10%,94.4,4.9,0.6,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,1004557,Bun-Sgoil Gh?idhlig Phort R?gh,Primary,9.6,172,17.9,24.6,82,90,25,25,21,29,27,24,21,z,z,z,z,z,z,z,33,139,5,167,172,0,160,C,9,C,127,100,C,C,0,44,121,7,0,0,0-10%,0-10%,90-100%,0-10%,94.8,4.1,1.2,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5126525,Bun-Sgoil Shl?ite,Primary,5.2,51,9.9,12.8,25,26,6,9,C,11,9,9,C,z,z,z,z,z,z,z,14,37,0,51,51,0,46,C,C,0,37,100,0,0,0,C,49,C,0,0,0-10%,0-10%,90-100%,0-10%,94.3,4.4,1.2,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5120128,Bun-sgoil Gh?idhlig Inbhir Nis,Primary,11.1,220,19.8,24.4,102,118,43,24,40,28,27,31,27,z,z,z,z,z,z,z,68,152,0,220,220,0,203,7,7,C,162,100,C,C,7,34,23,125,31,0,70-80%,0-10%,20-30%,0-10%,94.8,4.0,1.2,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,5100224,Canisbay Primary,Primary,2.7,34,12.6,17,20,14,6,8,C,C,6,7,C,z,z,z,z,z,z,z,8,26,0,34,0,34,34,0,0,0,25,100,C,C,0,0,34,0,0,0,0-10%,0-10%,90-100%,0-10%,90.2,8.4,1.4,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5138221,Cannich Bridge Primary,Primary,2.4,29,12.1,14.5,14,15,5,C,C,5,C,5,C,z,z,z,z,z,z,z,14,15,0,29,14,15,26,C,C,0,20,100,C,C,0,0,C,28,0,C,0-10%,0-10%,90-100%,0-10%,95.6,4.1,0.3,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5133521,Caol Primary,Primary,10.9,216,19.8,27,85,131,28,21,29,20,32,47,39,z,z,z,z,z,z,z,116,100,10,206,0,216,200,10,C,C,130,100,24,27.9,C,52,155,5,C,0,90-100%,0-10%,0-10%,0-10%,91.0,6.6,2.5,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,5126126,Carbost Primary,Primary,2.1,18,8.4,18,9,9,C,0,5,C,C,6,0,z,z,z,z,z,z,z,C,C,0,18,0,18,16,C,0,C,12,100,0,0,0,0,0,18,0,0,0-10%,0-10%,90-100%,0-10%,92.8,6.3,0.9,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5146429,Carrbridge Primary,Primary,4.9,75,15.3,18.8,40,35,7,14,12,10,10,11,11,z,z,z,z,z,z,z,19,56,C,C,0,75,68,5,C,C,53,100,C,C,0,0,8,67,0,0,0-10%,10-20%,80-90%,0-10%,96.1,2.5,1.5,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5100321,Castletown Primary,Primary,5.3,77,14.7,19.3,38,39,8,9,9,9,13,11,18,z,z,z,z,z,z,z,15,62,C,C,0,77,75,C,0,C,48,100,C,C,0,34,23,19,0,C,0-10%,0-10%,90-100%,0-10%,91.6,6.9,1.5,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5139627,Cauldeen Primary,Primary,17.7,251,14.2,20.9,119,132,33,43,36,32,35,33,39,z,z,z,z,z,z,z,101,150,38,213,0,251,186,33,30,C,179,100,12,16.7,70,48,17,110,6,0,80-90%,0-10%,10-20%,0-10%,89.1,7.3,3.6,0.1,Other urban areas,Other urban areas,Non-denominational,,
Highland,5152623,Cawdor Primary,Primary,7.4,120,16.2,20,62,58,10,13,17,19,14,30,17,z,z,z,z,z,z,z,29,91,C,C,0,120,99,15,6,0,73,100,C,C,0,9,80,27,C,C,10-20%,0-10%,70-80%,0-10%,94.3,4.3,1.4,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,5139724,Central Primary,Primary,13.9,166,11.9,23.7,75,91,32,19,30,14,27,20,24,z,z,z,z,z,z,z,74,92,53,113,0,166,87,37,37,5,122,100,10,22.7,57,78,C,28,0,C,90-100%,0-10%,0-10%,0-10%,89.9,8.0,2.1,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,5114225,Coulhill Primary,Primary,10.9,172,15.8,21.5,75,97,12,35,23,21,23,28,30,z,z,z,z,z,z,z,56,116,18,154,81,91,138,22,6,6,114,100,20,34.5,131,35,C,C,C,0,0-10%,90-100%,0-10%,0-10%,87.8,9.3,3.0,0.0,Remote small towns,Remote small towns,Non-denominational,,
Highland,5143527,Cradlehall Primary,Primary,12.9,247,19.1,24.7,130,117,28,29,38,39,26,46,41,z,z,z,z,z,z,z,53,194,14,233,0,247,218,14,14,C,160,100,C,C,12,C,22,155,54,C,80-90%,0-10%,10-20%,0-10%,93.1,5.6,1.4,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,5120225,Craighill Primary,Primary,12.4,197,15.9,19.7,96,101,24,34,19,31,25,31,33,z,z,z,z,z,z,z,82,115,C,C,113,84,172,8,7,10,133,100,10,15.6,8,78,78,30,C,C,0-10%,70-80%,10-20%,0-10%,93.0,5.6,1.4,0.0,Remote small towns,Very Remote Small Towns,Non-denominational,,
Highland,5114128,Cromarty Primary,Primary,3.8,51,13.4,17,21,30,C,C,9,7,8,7,8,z,z,z,z,z,z,z,16,35,C,C,0,51,41,5,5,0,36,100,C,C,0,0,44,7,0,0,0-10%,0-10%,90-100%,0-10%,92.0,5.6,2.4,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5100429,Crossroads Primary,Primary,1.4,7,5,7,C,C,0,C,0,C,C,C,0,z,z,z,z,z,z,z,C,C,0,7,0,7,C,C,C,0,6,100,C,C,0,C,5,C,0,0,0-10%,0-10%,90-100%,0-10%,82.1,15.4,2.6,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5139929,Crown Primary,Primary,10.0,237,23.7,26.3,110,127,31,27,38,37,28,43,33,z,z,z,z,z,z,z,86,151,30,207,0,237,159,24,54,0,161,100,C,C,16,15,66,115,25,0,90-100%,0-10%,0-10%,0-10%,93.9,3.8,2.2,C,Other urban areas,Other urban areas,Non-denominational,,
Highland,5138523,Croy Primary,Primary,7.4,119,16.1,23.8,61,58,23,20,22,15,13,12,14,z,z,z,z,z,z,z,27,92,0,119,0,119,108,6,5,0,93,100,C,C,C,C,108,8,0,0,0-10%,0-10%,90-100%,0-10%,93.3,5.1,1.6,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,5114322,Culbokie Primary,Primary,6.1,103,16.9,20.6,54,49,18,14,9,21,9,18,14,z,z,z,z,z,z,z,35,68,0,103,0,103,97,6,0,0,71,100,C,C,0,0,C,102,0,C,0-10%,0-10%,90-100%,0-10%,93.1,5.4,1.6,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,5140021,Dalneigh Primary,Primary,14.1,246,17.4,24.6,121,125,33,28,36,34,27,54,34,z,z,z,z,z,z,z,144,102,30,216,0,246,198,25,21,C,158,100,22,25,128,98,C,16,C,0,90-100%,0-10%,0-10%,0-10%,91.3,6.8,1.9,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,5145422,Deshar Primary,Primary,2.7,41,15.2,20.5,22,19,6,C,11,10,5,C,C,z,z,z,z,z,z,z,18,23,C,C,0,41,32,C,C,C,35,100,C,C,0,0,0,41,0,0,0-10%,0-10%,90-100%,0-10%,92.8,4.5,2.7,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5114624,Dingwall Primary,Primary,23.4,414,17.7,24.4,200,214,57,53,49,57,74,57,67,z,z,z,z,z,z,z,160,254,26,388,411,C,334,40,27,13,290,100,14,11.3,25,87,238,21,43,0,0-10%,80-90%,10-20%,0-10%,91.9,6.4,1.7,C,Remote small towns,Remote small towns,Non-denominational,,
Highland,5138728,Dochgarroch Primary,Primary,1.5,13,8.7,13,8,5,C,C,C,C,C,C,0,z,z,z,z,z,z,z,9,C,0,13,9,C,13,0,0,0,11,100,C,C,6,C,C,C,0,0,40-50%,0-10%,50-60%,0-10%,88.3,10.7,1.1,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,5110629,Dornoch Primary,Primary,9.3,167,18,23.9,85,82,24,16,23,31,24,25,24,z,z,z,z,z,z,z,69,98,7,160,0,167,129,27,11,0,118,100,6,12.2,0,5,61,100,0,C,0-10%,0-10%,90-100%,0-10%,93.4,5.0,1.6,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5140129,Drakies Primary,Primary,11.5,230,20,25.6,128,102,22,33,34,30,30,39,42,z,z,z,z,z,z,z,70,160,20,210,72,158,176,27,27,0,149,100,C,C,7,19,21,27,156,0,90-100%,0-10%,0-10%,0-10%,93.8,4.5,1.7,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,5100526,Dunbeath Primary,Primary,2.8,33,11.6,16.5,14,19,C,5,C,5,7,C,7,z,z,z,z,z,z,z,18,15,0,33,0,33,30,C,C,0,22,100,C,C,0,33,0,0,0,0,0-10%,0-10%,90-100%,0-10%,92.2,4.5,3.3,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5143624,Duncan Forbes Primary,Primary,13.0,250,19.2,25,122,128,35,22,37,31,28,54,43,z,z,z,z,z,z,z,172,78,12,238,0,250,203,32,14,C,153,100,6,6.2,C,8,115,100,24,C,80-90%,0-10%,0-10%,0-10%,92.1,6.0,1.9,0.0,Other urban areas,Other urban areas,Non-denominational,,
Highland,5127920,Dunvegan Primary,Primary,5.7,50,8.8,12.5,21,29,9,7,7,5,6,10,6,z,z,z,z,z,z,z,22,28,C,C,50,0,39,8,C,C,34,100,0,0,0,27,22,0,0,C,0-10%,0-10%,90-100%,0-10%,93.6,4.8,1.6,C,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5108020,Durness Primary,Primary,2.0,8,4,8,C,C,C,C,C,0,C,0,C,z,z,z,z,z,z,z,C,C,0,8,0,8,8,0,0,0,6,100,0,0,0,0,8,0,0,0,0-10%,0-10%,90-100%,0-10%,96.9,2.5,C,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5130522,Duror Primary,Primary,1.4,2,1.5,2,C,C,C,C,C,C,C,C,C,z,z,z,z,z,z,z,C,C,0,C,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0,0-10%,0-10%,90-100%,0-10%,88.9,C,6.0,0.0,Remote rural areas,Remote rural areas,Non-denominational,,
Highland,5114829,Edderton Primary,Primary,1.6,5,3.2,5,C,C,0,0,0,C,C,0,C,z,z,z,z,z,z,z,0,5,0,5,0,5,5,0,0,0,C,C,0,0,0,C,C,0,0,0,0-10%,30-40%,50-60%,0-10%,96.9,C,C,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5126320,Edinbane Primary,Primary,1.7,9,5.3,9,C,C,C,C,C,C,0,C,0,z,z,z,z,z,z,z,C,C,0,9,0,9,6,C,C,C,7,100,0,0,0,0,9,0,0,0,0-10%,0-10%,90-100%,0-10%,95.5,3.1,C,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5133629,Eigg Primary,Primary,1.6,10,6.4,10,5,5,C,C,C,C,C,0,C,z,z,z,z,z,z,z,0,10,0,10,7,C,10,0,0,0,8,100,C,C,0,0,10,0,0,0,0-10%,0-10%,90-100%,0-10%,94.0,3.6,2.4,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5138922,Farr Primary (Inv),Primary,3.6,59,16.4,19.7,29,30,6,7,12,11,6,10,7,z,z,z,z,z,z,z,13,46,0,59,0,59,57,C,0,C,42,100,C,C,0,0,7,52,0,0,0-10%,0-10%,90-100%,0-10%,94.9,3.6,1.5,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
Highland,5110220,Farr Primary (Suth),Primary,2.9,31,10.7,15.5,15,16,C,5,C,C,7,5,C,z,z,z,z,z,z,z,9,22,0,31,0,31,27,C,C,0,22,100,C,C,0,0,31,0,0,0,0-10%,0-10%,90-100%,0-10%,93.4,6.1,0.6,0.0,Remote rural areas,Very Remote Rural,Non-denominational,,
Highland,5114926,Ferintosh Primary,Primary,1.9,13,6.8,13,6,7,C,C,C,C,0,C,C,z,z,z,z,z,z,z,6,7,0,13,0,13,12,0,C,C,7,100,C,C,0,C,C,9,0,0,0-10%,10-20%,80-90%,0-10%,90.2,7.2,2.6,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
