Local Authority,SeedCode,School Name,School Type,Teachers (Full Time Equivalent) [Note 1],Pupil roll,Pupil Teacher Ratio,Average class size,Female,Male,P1,P2,P3,P4,P5,P6,P7,S1,S2,S3,S4,S5,S6,Special school pupils,Pupils with an Additional Support Need recorded,Pupils with no Additional Support Needs recorded,Pupils with English as an Additional Language [Note 2],Pupils without English as an Additional Language [Note 2],Pupils taught in Gaelic [Note 3],Pupils with no Gaelic taught [Note 3],White - British [Note 4],White - Other [Note 4],Minority Ethnic [Note 4],Not known/not disclosed [Note 4],P1-P5 pupils registered for free school meals [Note 5],Percentage of P1-P5 pupils registered for free school meals [Note 5],P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],Percentage of P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],SIMD Quintile 1 [Note 6],SIMD Quintile 2 [Note 6],SIMD Quintile 3 [Note 6],SIMD Quintile 4 [Note 6],SIMD Quintile 5 [Note 6],SIMD not availble [Note 6],Urban [Note 7],Small town [Note 7],Rural [Note 7],Urban/rural classification not available [Note 7],Attendance rate (%)[Note 8] [Note 9],Authorised absence rate (%) [Note 8] [Note 9],Unauthorised absence rate (%)[Note 8] [Note 9],Absence due to temporary exclusion rate (%) [Note 8] [Note 9],School's 6-fold urban/rural classification,School's 8-fold urban/rural classification,Denomination of school,,
Aberdeen City,5239826,Hazlehead School,Primary,18.6,342,18.4,26.3,159,183,47,57,50,50,55,44,39,z,z,z,z,z,z,z,95,247,37,305,0,342,222,45,73,C,259,100,9,10.8,C,51,75,10,205,C,80-90%,0-10%,10-20%,0-10%,95.2,3.3,1.5,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5230829,Heathryburn School,Primary,19.9,305,15.3,23.5,143,162,37,37,40,57,47,47,40,z,z,z,z,z,z,z,229,76,61,244,0,305,211,60,29,5,218,100,31,35.6,82,216,6,0,C,C,90-100%,0-10%,0-10%,0-10%,90.1,6.7,3.3,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5239923,Holy Family RC School,Primary,11.1,176,15.9,25.1,81,95,23,25,30,20,27,22,29,z,z,z,z,z,z,z,134,42,74,102,0,176,19,48,109,0,125,100,C,C,24,89,17,11,35,0,90-100%,0-10%,0-10%,0-10%,94.1,4.5,1.4,0.0,Large urban areas,Large urban areas,Roman Catholic,,
Aberdeen City,5245923,Kaimhill School,Primary,25.1,377,15,25.1,181,196,48,45,58,56,55,53,62,z,z,z,z,z,z,z,208,169,82,295,0,377,188,51,137,C,262,100,30,26.1,8,213,145,C,9,C,90-100%,0-10%,0-10%,0-10%,93.5,5.2,1.3,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5241820,Kingsford School,Primary,18.9,299,15.8,23,145,154,29,43,49,52,34,53,39,z,z,z,z,z,z,z,113,186,36,263,0,299,231,32,36,0,207,100,23,25,38,203,31,C,26,C,90-100%,0-10%,0-10%,0-10%,91.9,6.3,1.9,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5235227,Kingswells School,Primary,23.7,413,17.4,25.8,214,199,61,65,58,69,56,58,46,z,z,z,z,z,z,z,131,282,36,377,0,413,285,35,91,C,309,100,9,8.7,0,7,11,30,365,0,0-10%,70-80%,10-20%,0-10%,95.5,3.4,1.1,0.0,Accessible small towns,Accessible small towns,Non-denominational,,
Aberdeen City,5240522,Kirkhill School,Primary,17.4,275,15.8,21.2,141,134,38,55,39,37,43,32,31,z,z,z,z,z,z,z,74,201,35,240,0,275,202,30,14,29,212,100,19,30.2,13,88,144,28,C,C,90-100%,0-10%,0-10%,0-10%,91.9,5.2,2.8,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5240425,Kittybrewster School,Primary,18.8,291,15.5,24.3,148,143,39,35,35,47,43,43,49,z,z,z,z,z,z,z,174,117,111,180,0,291,124,56,108,C,199,100,30,32.6,70,140,19,45,16,C,90-100%,0-10%,0-10%,0-10%,89.3,7.3,3.4,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5246024,Loirston School,Primary,23.5,364,15.5,24.3,178,186,42,57,60,49,52,45,59,z,z,z,z,z,z,z,150,214,27,337,0,364,270,40,40,14,260,100,19,18.3,C,17,9,249,87,C,80-90%,0-10%,10-20%,0-10%,92.7,5.0,2.2,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5241723,Manor Park School,Primary,16.3,239,14.7,23.9,111,128,26,40,33,39,32,28,41,z,z,z,z,z,z,z,143,96,64,175,0,239,155,46,36,C,170,100,29,42,200,25,8,C,C,0,90-100%,0-10%,0-10%,0-10%,87.6,8.3,4.0,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5235928,Middleton Park School,Primary,10.3,156,15.1,22.3,72,84,21,13,20,24,26,21,31,z,z,z,z,z,z,z,40,116,21,135,0,156,90,7,59,0,104,100,C,C,C,C,0,86,62,0,80-90%,0-10%,10-20%,0-10%,94.1,3.8,2.1,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5240026,Mile End School,Primary,38.9,578,14.9,23.1,261,317,83,66,84,85,99,85,76,z,z,z,z,z,z,z,148,430,77,501,0,578,348,51,173,6,417,100,18,11.2,18,35,44,156,325,0,90-100%,0-10%,0-10%,0-10%,93.8,4.3,1.9,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5235324,Milltimber School,Primary,18.9,330,17.5,25.4,171,159,35,55,39,49,50,45,57,z,z,z,z,z,z,z,39,291,21,309,0,330,216,23,90,C,228,100,C,C,0,C,10,5,312,C,80-90%,0-10%,10-20%,0-10%,95.6,3.6,0.9,C,Accessible rural areas,Accessible rural areas,Non-denominational,,
