urn,status,reason,school_rows_updated,absence_inserted,absence_rows_updated,total_pupils,percentage_fsm,english_score,math_score,science_score,attendance_pct
6642267,ok,,1,0,1,492,,,,,
6642268,ok,,1,0,1,582,,,,,
6642269,ok,,1,0,1,343,,,,,
6642270,ok,,1,0,1,350,,,,,
6642271,ok,,1,0,1,261,,,,,
6642272,ok,,1,0,1,288,,,,,
6643002,ok,,1,0,1,43,,,,,
6643303,ok,,1,0,1,56,,,,,
6643306,ok,,1,0,1,254,,,,,
6643307,ok,,1,0,1,180,,,,,
6643308,ok,,1,0,1,78,,,,,
6643311,ok,,1,0,1,70,,,,,
6643312,ok,,1,0,1,187,,,,,
6643316,ok,,1,0,1,67,,,,,
6643320,ok,,1,0,1,81,,,,,
6643330,ok,,1,0,1,96,,,,,
6643331,ok,,1,0,1,108,,,,,
6643332,ok,,1,0,1,32,,,,,
6643333,ok,,1,0,1,421,,,,,
6643334,ok,,1,0,1,55,,,,,
6644000,ok,,1,0,1,1140,,,,,
6644006,ok,,1,0,1,1538,,,,,
6644011,ok,,1,0,1,928,,,,,
6644012,ok,,1,0,1,503,,,,,
6644013,ok,,1,0,1,343,,,,,
6644017,ok,,1,0,1,1284,,,,,
6644018,ok,,1,0,1,601,,,,,
6644021,ok,,1,0,1,778,,,,,
6644022,ok,,1,0,1,1072,,,,,
6644042,ok,,1,0,1,551,,,,,
6644600,ok,,1,0,1,772,,,,,
6645200,ok,,1,0,1,192,,,,,
6647020,ok,,1,0,1,99,,,,,
6647021,ok,,1,0,1,123,,,,,
6651007,ok,,1,0,1,50,,,,,
6652076,ok,,1,0,1,225,,,,,
6652137,ok,,1,0,1,19,,,,,
6652138,ok,,1,0,1,50,,,,,
6652139,ok,,1,0,1,89,,,,,
6652140,ok,,1,0,1,20,,,,,
6652149,ok,,1,0,1,215,,,,,
6652151,ok,,1,0,1,195,,,,,
6652160,ok,,1,0,1,144,,,,,
6652162,ok,,1,0,1,113,,,,,
6652173,ok,,1,0,1,366,,,,,
6652176,ok,,1,0,1,177,,,,,
6652178,ok,,1,0,1,111,,,,,
6652179,ok,,1,0,1,127,,,,,
6652187,ok,,1,0,1,153,,,,,
6652191,ok,,1,0,1,289,,,,,
6652200,ok,,1,0,1,219,,,,,
6652204,ok,,1,0,1,171,,,,,
6652208,ok,,1,0,1,242,,,,,
6652209,ok,,1,0,1,296,,,,,
6652224,ok,,1,0,1,221,,,,,
6652232,ok,,1,0,1,89,,,,,
6652235,ok,,1,0,1,60,,,,,
6652238,ok,,1,0,1,315,,,,,
6652259,ok,,1,0,1,249,,,,,
6652263,ok,,1,0,1,306,,,,,
6652266,ok,,1,0,1,261,,,,,
6652267,ok,,1,0,1,211,,,,,
