Reference,School Name,% attendance,% absence,% authorised absence,% unauthorised absence
2230322,St Kevin's College,95,5,4.6,0.4
2240319,Gaelcholaiste Dhoire,90.2,9.8,7,2.8
2260276,Oakgrove Integrated College,84.3,15.7,4.7,11.1
2260280,"Erne Integrated College, Enniskillen",82.4,17.6,5.6,12
2260283,"Drumragh Integrated College, Omagh",89.1,10.9,5.6,5.4
2410048,Limavady Grammar School,93,7.1,4.8,2.3
2410066,Omagh Academy Grammar School,94.1,5.9,5.2,0.6
2410311,"Strabane Academy, Liskey Road",89.3,10.7,6.2,4.5
2420041,"Mount Lourdes Grammar School, Enniskillen",94.1,5.9,4.4,1.5
2420043,"St Michael's College, Enniskillen",90.1,9.9,3.7,6.2
2420052,"Thornhill College, Derry",92.3,7.7,5.3,2.4
2420054,"St Columb's College, Derry",90.8,9.2,2.3,7
2420064,"Christian Brothers Grammar School, Omagh",92.1,7.9,4.8,3.1
2420065,"Loreto Grammar School, Omagh",91.9,8.1,4.5,3.6
2420229,Foyle College,94,6,3.8,2.3
2420287,"Lumen Christi College, Derry",95.4,4.6,3.8,0.8
2420320,"Enniskillen Royal Grammar School, Cooper Crescent",92.3,7.7,7.5,0.2
3210035,Magherafelt High School,88.5,11.5,10.7,0.7
3210038,Larne High School,82.1,17.9,9.2,8.7
3210124,Ballycastle High School,89.1,10.9,4.8,6.1
3210133,Ballymoney High School,88.5,11.5,2.9,8.6
3210134,Ballyclare Secondary School,86.8,13.2,4.9,8.3
3210172,Cullybackey College,92.4,7.6,3.7,3.9
3210208,"Dunclug College, Ballymena",89.1,10.9,5.8,5.1
3210222,Dunluce School,82.2,17.8,4.2,13.6
3210300,Coleraine College,86.9,13.1,6.2,6.9
3210313,"Abbey Community College, Newtownabbey",84.1,15.9,7.3,8.6
3210323,Carrickfergus Academy,84,16,6.9,9.1
3230075,"Our Lady of Lourdes High School, Ballymoney",90,10.1,5.6,4.5
3230084,"St Patrick's College, Ballymena",81.7,18.3,6.4,11.9
3230132,"St Colm's High School, Draperstown",92.9,7.1,6.2,0.9
3230168,"St Pius X College, Magherafelt",91.1,8.9,5.6,3.3
3230203,"Edmund Rice, Newtownabbey",88.6,11.4,10.6,0.8
3230227,Cross & Passion College,92.1,7.9,4.3,3.5
