School_Number,School_Name,LA_Code,Local_Authority,Sector,Governance,WM_Code,Welsh_Medium_Type,School_Type,Religious_Character,Address1,Address2,Address3,Address4,Postcode,Phone_Number,Pupils,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6712187,Ynysfach Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Resolven,Neath,,,SA11 4AB,01639710238,157,,,,,,,,,,
6712191,Blaenbaglan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maes-Ty-Canol,Baglan,Port Talbot,,SA12 8YF,01639769775,290,,,,,,,,,,
6712200,Rhos Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Neath Road,Rhos,Swansea,,SA8 3EB,01792862177,148,,,,,,,,,,
6712202,YGG Blaendulais,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaendulais,Castell Nedd,,,SA10 9AA,01639700342,99,,,,,,,,,,
6712203,Rhydyfro Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Waun Penlan,Pontardawe,Swansea,,SA8 3BB,01792862200,154,,,,,,,,,,
6712205,YGG Cwm Nedd,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,New Street,Glynneath,Neath,,SA11 5AA,01639720530,129,,,,,,,,,,
6712206,Tairgwaith Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llwyncelyn Road,Tairgwaith,Ammanford,,SA18 1UU,01269823258,97,,,,,,,,,,
6712208,YGG Trebannws,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Swansea Road,Trebannws,Swansea,,SA8 4BL,01792864004,90,,,,,,,,,,
6712218,YGG Pontardawe,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Alltacham Drive,Pontardawe,Abertawe,,SA8 4JR,01792862136,330,,,,,,,,,,
6712221,Waunceirch Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dwr Y Felin Road,Waunceirch,Neath,,SA10 7RW,01639636084,179,,,,,,,,,,
6712230,Cilffriw Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Main Road,Cilfrew,Neath,,SA10 8LF,01639630816,168,,,,,,,,,,
6712231,YGG Tyle'r Ynn,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llansawel Crescent,Briton Ferry,Castell Nedd,,SA11 2UN,01639812229,272,,,,,,,,,,
6712232,Coed Hirwaun Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cwrt y Carw,Margam,Port Talbot,,SA13 2TS,01656747830,174,,,,,,,,,,
6712233,Coedffranc Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Stanley Road,Skewen,Neath,,SA10 6LP,01792813504,390,,,,,,,,,,
6712234,Pen Afan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Western Terrace,Blaengwynfi,Port Talbot,,SA13 3YE,01639850316,99,,,,,,,,,,
6712235,Awel Y Mor Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd yr Ysgol,Sandfields,Port Talbot,,SA12 6TP,01639875100,333,,,,,,,,,,
6712236,Crynallt Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Afan Valley Road,Cimla,Neath,,SA11 3AZ,01639635256,406,,,,,,,,,,
6712237,Cwmafan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ty'r Owen Row,Cwmavon,Port Talbot,,SA12 9BB,01639869312,405,,,,,,,,,,
6712238,Central Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Theodore Road,Port Talbot,,,SA13 1SF,01639882866,444,,,,,,,,,,
6712239,Abbey Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Road,Neath Abbey,Neath,,SA10 7ND,01792812202,442,,,,,,,,,,
6712240,Melin Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,MILE END ROW,Melincryddan,Neath,,SA11 2ED,01639645414,257,,,,,,,,,,
6712241,Ysgol Carreg Hir,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Old Road,Briton Ferry,,Neath,SA11 2ET,01639502892,407,,,,,,,,,,
6712242,YGG Tregeles,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",Not available,St John’s Terrace,Neath Abbey,Neath Port Talbot,,SA10 7ND,01792966655,18,,,,,,,,,,
6713309,St Joseph's Catholic Primary School (Neath),671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Cook Rees Avenue,Neath,,,SA11 1UR,01639635099,116,,,,,,,,,,
6713310,St Josephs Catholic Infant School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,Nursery & Infants,Roman Catholic,Water Street,Aberavon,Port Talbot,,SA12 6LF,01639882579,128,,,,,,,,,,
6713311,Bryncoch CIW Primary School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Furzeland Drive,Bryncoch,Neath,,SA10 7UG,01639643359,130,,,,,,,,,,
6713313,Alderman Davies CIW Primary School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,St David's Street,Neath,,,SA11 3AA,01639769772,285,,,,,,,,,,
6713314,St Therese's Catholic Primary School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Southdown Road,Sandfields,Port Talbot,,SA12 7HL,01639882797,227,,,,,,,,,,
6713316,St Josephs Catholic Junior School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,Juniors,Roman Catholic,Nobel Avenue,Port Talbot,,,SA12 6YN,01639769743,156,,,,,,,,,,
6714064,Cefn Saeson Comprehensive School,671,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Afan Valley Road,Cimla,Neath,,SA11 3TA,01639791300,845,,,,,,,,,,
6714065,Cwmtawe Community School,671,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ffordd Parc Ynysderw,Pontardawe,Swansea,,SA8 4EG,01792863200,1115,,,,,,,,,,
6714066,Llangatwg Community School,671,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Main Road,Cadoxton,Neath,,SA10 8DB,01639634700,787,,,,,,,,,,
6714067,Dwr Y Felin Comprehensive School,671,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Dwr Y Felin Road,Neath,,,SA10 7RE,01639635161,1119,,,,,,,,,,
6714601,St Joseph's RC School and 6th Form Centre,671,Neath Port Talbot,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Newton Avenue,Aberavon,Port Talbot,,SA12 6EY,01639884305,901,,,,,,,,,,
6715500,Ysgol Bae Baglan,671,Neath Port Talbot,Middle,Community,EM,English medium,Middle (ages 3-16),---, SEAWAY PARADE,Sandfields,,PORT TALBOT,SA12 7BL,01639508540,1450,,,,,,,,,,
6715501,Ysgol Gymraeg Ystalyfera Bro Dur,671,Neath Port Talbot,Middle,Community,WM,Welsh medium,Middle (ages 3-19),---,Glan Yr Afon,Ystalyfera,Swansea,,SA9 2DY,01639842129,1571,,,,,,,,,,
6715502,Ysgol Cwm Brombil,671,Neath Port Talbot,Middle,Community,EM,English medium,Middle (ages 3-16),---,Bertha Road,,Margam,Port Talbot,SA13 2AN,01639760110,1409,,,,,,,,,,
6717006,Ysgol Maes y Coed,671,Neath Port Talbot,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Heol Hendre,Bryncoch,Neath,,SA10 7TY,01639643648,120,,,,,,,,,,
6717008,Ysgol Hendrefelin,671,Neath Port Talbot,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Heol Hendre,Bryncoch,Neath,,SA10 7TY,01639642786,168,,,,,,,,,,
6722046,Abercerdin Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Kenry Street,Evanstown,Gilfach Goch,Bridgend,CF39 8RS,01656815535,151,,,,,,,,,,
6722051,Betws Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Bradford,Bettws,Bridgend,,CF32 8TB,01656815650,174,,,,,,,,,,
6722055,Blaengarw Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Station Street,Blaengarw,Pontycymer,Bridgend,CF32 8BA,01656815550,171,,,,,,,,,,
6722086,Brynmenyn Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Yr Ysgol,Tondu,Bridgend,,CF32 9LA,01656815850,407,,,,,,,,,,
6722090,Bryntirion Infants,672,Bridgend,Primary,Community,EM,English medium,Nursery & Infants,---,Bryngolau,Bryntirion,Bridgend,,CF31 4DD,01656815860,150,,,,,,,,,,
6722103,CEFN CRIBWR PRIMARY SCHOOL,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cefn Road,Cefn Cribbwr,Bridgend,,CF32 0AW,01656815645,158,,,,,,,,,,
6722109,Coety Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol-yr-Ysgol,Coity,Bridgend,,CF35 6DH,01656754990,478,,,,,,,,,,
6722117,Cwmfelin Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maesteg Road,Cwmfelin,Maesteg,Bridgend,CF34 9LD,01656815525,212,,,,,,,,,,
6722122,FFALDAU,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Albany Road,Pontycymmer,Bridgend,,CF32 8HW,01656815870,133,,,,,,,,,,
6722129,Garth Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Mission Road,Garth,Maesteg,Bridgend,CF34 0ND,01656815590,196,,,,,,,,,,
6722146,Coychurch Llangrallo Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Main Road,Coychurch,Bridgend,,CF35 5HN,01656815880,143,,,,,,,,,,
6722149,LLANGYNWYD PRIMARY SCHOOL,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Cadrawd,Llangynwyd,Maesteg,Bridgend,CF34 9TE,01656 733166,96,,,,,,,,,,
6722172,NANTYFFYLLON PRIMARY SCHOOL,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Garnwen Terrace,Nantyffyllon,Maesteg,Bridgend,CF34 0ET,01656815740,220,,,,,,,,,,
6722178,Nantymoel Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Gwendoline Street,Nantymoel,Bridgend,,CF32 7PL,01656815670,209,,,,,,,,,,
6722185,Newton Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Road,Porthcawl,Bridgend,,CF36 5BL,01656815780,174,,,,,,,,,,
6722194,NOTTAGE COUNTY PRIMARY,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Suffolk Place,Porthcawl,Bridgend,,CF36 3ED,01656815540,347,,,,,,,,,,
6722220,Pen-y-Bont Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Minerva Street,Bridgend,,,CF31 1TD,01656754860,344,,,,,,,,,,
6722227,Pil Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pyle Inn Way,Pyle,Bridgend,,CF33 6AB,01656815630,211,,,,,,,,,,
6722232,Plasnewydd Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Castle Street,Maesteg,Bridgend,,CF34 9UN,01656815770,194,,,,,,,,,,
6722256,Trelales Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Well Street,Laleston,Bridgend,,CF32 0LF,01656815610,184,,,,,,,,,,
6722259,Ysgol Cynwyd Sant,672,Bridgend,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pen-Yr-Ysgol,Maesteg,Bridgend,,CF34 9LN,01656815615,271,,,,,,,,,,
6722275,Tynyrheol Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,TYNYRHEOL PRIMARY SCHOO,HEOL LLANGEINOR,LLANGEINOR,,CF32 8PN,01656815820,66,,,,,,,,,,
6722279,CROESTY PRIMARY SCHOOL,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Coychurch Road,Pencoed,Bridgend,,CF35 5LY,01656815890,192,,,,,,,,,,
6722288,CORNELI PRIMARY,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Greenfield Terrace,North Cornelly,Bridgend,,CF33 4LW,01656754870,253,,,,,,,,,,
6722292,LLANGEWYDD JUNIOR SCHOOL,672,Bridgend,Primary,Community,EM,English medium,Juniors,---,Llangewydd Road,Cefn Glas,Bridgend,,CF31 4JT,01656815530,342,,,,,,,,,,
6722296,Porthcawl Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Meadow Lane,Porthcawl,,,CF36 5EY,01656815660,186,,,,,,,,,,
6722298,YSGOL GYMRAEG BRO OGWR,672,Bridgend,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Princess Way,Brackla,Bridgend,,CF31 2LN,01656815580,370,,,,,,,,,,
6722300,CEFN GLAS INFANTS,672,Bridgend,Primary,Community,EM,English medium,Nursery & Infants,---,St Winifred's Road,Cefn Glas,Bridgend,,CF31 4PL,01656815690,207,,,,,,,,,,
6722301,WEST PARK PRIMARY,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,West Road,Nottage,Porthcawl,,CF36 3SN,01656815510,405,,,,,,,,,,
6722304,Afon y Felin Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol y Parc,North Cornelly,Bridgend,,CF33 4PA,01656815750,139,,,,,,,,,,
6722342,Tondu Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Meadow Street,Aberkenfig,Bridgend,,CF32 9BE,01656815720,188,,,,,,,,,,
6722358,YSGOL Y FERCH O'R SGER,672,Bridgend,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Greenfield Terrace,North Cornelly,Bridgend,,CF33 4LW,01656754865,131,,,,,,,,,,
6722363,Ysgol Gynradd Gymraeg Calon Y Cymoedd,672,Bridgend,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bettws Road,Bettws,Bridgend,,CF32 8TB,01656815810,193,,,,,,,,,,
6722367,Maes Yr Haul Broadlands,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Broadlands,Ffordd Tirion,Bridgend,,CF31 5EG,01656815600,492,,,,,,,,,,
6722368,BRYNCETHIN PRIMARY,672,Bridgend,Primary,Community,EM,English medium,Infants & Juniors,---,Heol Canola,Bryncethin,Bridgend,,CF32 9TH,01656815840,258,,,,,,,,,,
6722369,Ogmore Vale Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Aber Road,Ogmore Vale,Bridgend,,CF32 7AJ,01656815640,304,,,,,,,,,,
6722370,Pencoed Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,PENCOED PRIMARY SCHOOL,PENPRYSG ROAD,PENCOED,,CF35 6RH,01656815730,586,,,,,,,,,,
6722371,Oldcastle Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,South Street,Bridgend,,,CF31 3ED,01656815790,431,,,,,,,,,,
6722372,Brackla Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Brackla way,Brackla,Bridgend,,CF31 2EZ,01656815570,343,,,,,,,,,,
6722373,Caerau Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Library Road,Caerau,Maesteg,,CF34 0PA,01656815830,412,,,,,,,,,,
6722374,Litchard Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Garfield Avenue,Litchard,Bridgend,,CF31 1QB,01656 815685,472,,,,,,,,,,
6722375,Tremains Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Channel View,Brackla,Bridgend,,CF31 2NL,01656815900,476,,,,,,,,,,
6722376,Mynydd Cynffig Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pwll-Y-Gath Street,Kenfig Hill,Bridgend,,CF33 6ET,01656815710,425,,,,,,,,,,
6723013,Penyfai Church in Wales,672,Bridgend,Primary,Voluntary controlled,EM,English medium,Infants & Juniors,Church in Wales,Heol Eglwys,Penyfai,Bridgend,,CF31 4LX,01656815930,237,,,,,,,,,,
6723311,ST. MARY`S & ST. PATRICK`S,672,Bridgend,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Monica Street,Maesteg,Bridgend,,CF34 9AY,01656815585,200,,,,,,,,,,
6723315,St. Robert's RC Primary,672,Bridgend,Primary,Voluntary aided,EM,English medium,Infants & Juniors,Roman Catholic,Danylan,Aberkenfig,Bridgend,,CF32 9AB,01656815515,175,,,,,,,,,,
6723322,St Mary's R C Primary School,672,Bridgend,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Llangewydd Road,Bridgend,,,CF31 4JW,01656815560,257,,,,,,,,,,
6723323,Archdeacon John Lewis C in W,672,Bridgend,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,C.I.W. Primary School,Brackla Way,Brackla,,CF31 2JS,01656815520,161,,,,,,,,,,
6724059,Cynffig Comprehensive,672,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,East Avenue,Kenfig Hill,Bridgend,,CF33 6NP,01656740294,783,,,,,,,,,,
6724068,Bryntirion Comprehensive.,672,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Merlin Crescent,Cefn Glas,Bridgend,,CF31 4QR,01656 641100,1223,,,,,,,,,,
6724071,Maesteg Comprehensive School,672,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ffordd Dysgu,Maesteg,Bridgend,,CF34 0LQ,01656815950,1024,,,,,,,,,,
6724076,PENCOED COMPREHENSIVE,672,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Coychurch Road,Pencoed,Bridgend,,CF35 5LZ,01656867100,895,,,,,,,,,,
6724078,Brynteg  School,672,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ewenny Road,Bridgend,,,CF31 3ER,01656815559,1676,,,,,,,,,,
6724080,PORTHCAWL COMPREHENSIVE SCHOOL,672,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,52 Park Avenue,Porthcawl,Bridgend,,CF36 3ES,01656774100,1175,,,,,,,,,,
6724085,Ysgol Gyfun Gymraeg Llangynwyd,672,Bridgend,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Llangynwyd,Maesteg,Bridgend,,CF34 9RW,01656815700,700,,,,,,,,,,
6724086,Coleg Cymunedol Y Dderwen,672,Bridgend,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heol Yr Ysgol,Tondu,Bridgend,,CF32 9EL,01656815920,1291,,,,,,,,,,
6724601,Archbishop McGrath Catholic High School,672,Bridgend,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Oak Tree Way,Brackla,Bridgend,,CF31 2DN,01656815500,823,,,,,,,,,,
6727003,Heronsbridge Special School,672,Bridgend,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Ewenny Road,Bridgend,,,CF31 3HT,01656815725,266,,,,,,,,,,
6727012,Ysgol Bryn Castell,672,Bridgend,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Llangewydd Road,Cefn Glas,Bridgend,,CF32 9NZ,01656815595,173,,,,,,,,,,
6732109,ALBERT PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Albert Road,Penarth,,,CF64 1BX,02920707682,441,,,,,,,,,,
6732111,BARRY ISLAND PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Clive Road,Barry Island,Barry,Vale of Glamorgan,CF62 5UZ,01446733807,239,,,,,,,,,,
6732114,COGAN PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,Infants & Juniors,---,Pill Street,Cogan,Nr. Penarth,Vale of Glamorgan,CF64 2JS,02920708497,233,,,,,,,,,,
6732115,COLCOT PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Florence Avenue,Barry,Vale of Glamorgan,,CF62 9XH,01446735719,304,,,,,,,,,,
6732117,FAIRFIELD PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dryden Road,Penarth,,,CF64 2RT,02920709035,279,,,,,,,,,,
6732118,GLADSTONE PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Gladstone Road,Barry,,,CF62 8NA,01446735321,433,,,,,,,,,,
6732120,High Street Primary School,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,St  Paul's Avenue,Barry,Vale of Glamorgan,,CF62 8HT,01446734553,234,,,,,,,,,,
6732122,HOLTON PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Holton Road,Barry,,,CF63 4TF,01446734844,399,,,,,,,,,,
6732124,JENNER PARK PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Hannah Street,Barry,Vale of Glamorgan,,CF63 1DG,01446735587,207,,,,,,,,,,
6732126,SOUTH POINT PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,Infants & Juniors,---,South Point Primary School,Rhoose,Rhoose Way,,CF62 3FD,01446781375,110,,,,,,,,,,
6732127,LLANFAIR PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,The Herberts,St Mary Church,Nr. Cowbridge,Vale of Glamorgan,CF71 7LT,01446772245,145,,,,,,,,,,
6732128,LLANGAN PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llangan,Nr. Bridgend,Vale of Glamorgan,,CF35 5DR,01446772403,129,,,,,,,,,,
6732131,PALMERSTON PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pen-y-Bryn,Cadoxton,Barry,,CF63 2XL,01446747393,232,,,,,,,,,,
6732133,RHWS COUNTY PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Fontygary Road,Rhoose,Barry,,CF62 3DS,01446710258,384,,,,,,,,,,
6732136,SULLY PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Burnham Avenue,Sully,Penarth,,CF64 5SU,02920530377,407,,,,,,,,,,
6732138,VICTORIA PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cornerswell Road,Penarth,,,CF64 2UZ,02920709225,454,,,,,,,,,,
6732144,ST ATHAN PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Rock Road,St Athan,Barry,,CF62 4PG,01446751480,201,,,,,,,,,,
6732146,ST ILLTYD PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Station Road,Llantwit Major,,,CF61 1ST,01446796335,338,,,,,,,,,,
6732148,EVENLODE PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,Infants & Juniors,---,Evenlode Avenue,Penarth,Vale of Glamorgan,,CF64 3PD,02920702168,491,,,,,,,,,,
6732149,LLANDOUGH COUNTY PRIMARY,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dochdwy Road,Llandough,Penarth,,CF64 2QD,02920702835,206,,,,,,,,,,
6732151,Y BONT FAEN PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Borough Close,Cowbridge,Vale of Glamorgan,,CF71 7BN,01446772374,256,,,,,,,,,,
6732152,YSGOL PEN-Y-GARTH,673,The Vale of Glamorgan,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,1 Heol Tircoch,Penarth,,,CF64 2QN,02920700262,320,,,,,,,,,,
6732156,Ysgol Gymraeg Sant Baruc,673,The Vale of Glamorgan,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Stryd Sant Baruc,Ffordd Y Mileniwm,Barry,The Vale of Glamorgan,CF62 5AT,01446749009,312,,,,,,,,,,
6732163,OAK FIELD PRIMARY AND NURSERY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Amroth Court,Caldy Close,Gibbonsdown,Barry,CF62 9DU,01446744606,173,,,,,,,,,,
6732165,YSGOL IOLO MORGANWG,673,The Vale of Glamorgan,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Broadway,Y Bont-Faen,,,CF71 7ER,01446772358,205,,,,,,,,,,
6732178,YSGOL GYMRAEG SANT CURIG,673,The Vale of Glamorgan,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,College Road,Barry,,,CF62 8HQ,01446744222,436,,,,,,,,,,
6732179,YSGOL GYMRAEG GWAUN Y NANT,673,The Vale of Glamorgan,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Amroth Court,Caldy Close,Gibbonsdown,Barry,CF62 9DU,01446421723,223,,,,,,,,,,
6732181,CADOXTON PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,Infants & Juniors,---,Victoria Park Road,Barry,Vale of Glamorgan,,CF63 2JS,01446741518,454,,,,,,,,,,
6732182,ROMILLY PRIMARY SCHOOL,673,The Vale of Glamorgan,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Romilly Road,Barry,,,CF62 6LF,01446736934,711,,,,,,,,,,
6732184,Ysgol Gymraeg Dewi Sant,673,The Vale of Glamorgan,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ham Lane East,Llantwit Major,,,CF61 1TQ,01446724461,222,,,,,,,,,,
