School_Number,School_Name,LA_Code,Local_Authority,Sector,Governance,WM_Code,Welsh_Medium_Type,School_Type,Religious_Character,Address1,Address2,Address3,Address4,Postcode,Phone_Number,Pupils,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6607011,Canolfan Addysg y Bont,660,Isle of Anglesey,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Ffordd Cildwrn,Llangefni,Ynys Mon,,LL77 7PG,01248750151,118,,,,,,,,,,
6612000,Ysgol Gwaun Gyfni,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Deiniolen,Gwynedd,,,LL55 3LT,01286870687,130,,,,,,,,,,
6612004,YSGOL GYNRADD NEFYN,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Dewi Sant,Nefyn,Pwllheli,Gwynedd,LL53 6EA,01758720765,137,,,,,,,,,,
6612006,Ysgol Llanrug,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 4AL,01286674905,250,,,,,,,,,,
6612008,Ysgol Gynradd Abererch,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abererch,Pwllheli,Gwynedd,,LL53 6YU,01758613441,70,,,,,,,,,,
6612010,YSGOL BEDDGELERT,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Beddgelert,Gwynedd,,,LL55 4UY,01766890307,31,,,,,,,,,,
6612011,Ysgol Bethel,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 1AX,01248670663,149,,,,,,,,,,
6612013,Ysgol Bodfeurig,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tregarth,Gwynedd,,,LL57 4RN,01248600760,55,,,,,,,,,,
6612015,YSGOL GYNRADD BORTH-Y-GEST,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9UF,01766513285,31,,,,,,,,,,
6612017,Ysgol Brynaerau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pontllyfni,Caernarfon,Gwynedd,,LL54 5EU,01286660428,64,,,,,,,,,,
6612026,Ysgol Y Gelli,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Bethel,Caernarfon,Gwynedd,,LL55 1DU,01286674847,230,,,,,,,,,,
