Reference,School Name,% attendance,% absence,% authorised absence,% unauthorised absence
3010829,Antrim Primary School,93.1,6.9,5.4,1.5
3010834,Clough Primary School,96.1,3.9,1.8,2.1
3010835,"Kells and Connor Primary School, Ballymena",93.2,6.8,3.7,3.1
3010842,"William Pinkerton Memorial Primary School, Ballymoney",93.6,6.4,4.7,1.7
3010846,"Whiteabbey Primary School, Newtownabbey",96.4,3.6,2.9,0.8
3010847,Portrush Primary School,92,8,3.6,4.4
3010860,"Sunnylands Primary School, Carrickfergus",90.7,9.3,7.4,1.9
3010862,"Abbots Cross Primary School, Newtownabbey",89.7,10.3,4.7,5.6
3010870,"Moyle Primary School, Larne",92.9,7.1,5.7,1.4
3010873,Bushmills Primary School,92.1,7.9,2.3,5.5
3010874,"Whitehead Primary School, Carrickfergus",94.5,5.5,3.2,2.3
3010875,Ballymena Primary School,89.8,10.2,3.9,6.3
3010878,"Kilmoyle Primary School, Ballymoney",94,6,3,3
3010879,"Straidhavern Primary School, Crumlin",95.2,4.8,3.1,1.7
3010880,"King's Park Primary School, Newtownabbey",93.6,6.4,3.5,2.9
3010883,"Linn Primary School, Larne",93.5,6.6,3.3,3.2
3010891,"Fourtowns Primary School, Ahoghill",95.1,4.9,3.1,1.8
3010892,"Ballytober Primary School, Bushmills",93.8,6.2,1.8,4.4
3010893,"Knockahollet Primary School, Ballymena",94.6,5.4,2.9,2.6
3010895,Rathcoole Primary School,86.7,13.3,5.1,8.2
3012049,"Carnalridge Primary School, Portrush",91.2,8.8,4,4.8
3012065,"Culcrow Primary School, Aghadowey",95.3,4.7,3.4,1.2
3012225,"Damhead Primary School, Coleraine",95.1,4.9,3.3,1.7
3012229,"Hezlett Primary School, Coleraine",93.4,6.7,2.8,3.8
3012233,"Tobermore Primary School, Tobermore",91.4,8.7,2.9,5.7
3012234,"Ampertaine Primary School, Maghera",93.8,6.2,4.1,2.2
3012237,"Killowen Primary School, Coleraine",92.1,7.9,3.8,4.2
3012250,Portstewart Primary School,93.4,6.6,3.3,3.3
3012264,"Millburn Primary School, Coleraine",89,11,10.5,0.5
3012267,Magherafelt Primary School,93.4,6.6,4.2,2.4
3012269,"Kilrea Primary School, Coleraine",96.6,3.4,2.3,1.1
3012284,"D H Christie Memorial Primary School, Coleraine",93.3,6.7,4.7,2
3012288,"Castleroe Primary School, Coleraine",94.1,5.9,3.1,2.8
3012290,Bellaghy Primary School,95.3,4.7,3.6,1.1
3012291,Maghera Primary School,92.5,7.6,5.7,1.9
3013301,"Carnmoney Primary School, Newtownabbey",93.9,6.1,4.2,1.9
3013310,"Broughshane Primary School, Ballymena",94.6,5.4,3.7,1.7
3013315,"Ballykeel Primary School, Ballymena",93.5,6.6,3.2,3.4
3013322,"Camphill Primary School, Ballymena",94.7,5.3,2.8,2.5
3013323,Mossgrove Primary School,93.2,6.8,3.2,3.7
3013325,"Leaney Primary School, Ballymoney",93.8,6.2,4,2.1
3013330,"Victoria Primary School, Carrickfergus",93.8,6.2,3.3,2.9
3013331,Ballycraigy Primary School,92,8.1,3.6,4.5
3013332,"Toreagh Primary School, Larne",95.1,4.9,3.9,1
3013700,"Macosquin Primary School, Coleraine",95.5,4.5,2.7,1.8
3013704,Castledawson Primary School,94.5,5.5,3.9,1.5
3016005,"Silverstream Primary School, Greenisland",90.4,9.6,5.9,3.7
3016014,"Templepatrick Primary School, Ballyclare",95.3,4.7,2.7,2
3016015,"Mossley Primary School, Newtownabbey",94.7,5.3,2.9,2.4
3016037,"Greystone Primary School, Antrim",93.3,6.7,3.6,3.2
3016038,"Hollybank Primary School, Monkstown",88.7,11.4,3.5,7.9
